WebID,Area,Data label,2021,2021%,2016,2016%,2011,2011%,2006,2006%,2001,2001%,1991,1991%,Data Type
190,Regional VIC,Not stated,122025,7.7396,140880,9.8255,121173,9.0043,147013,11.4272,123364,10.111,0,,UR
190,Regional VIC,Total Population,1576630,100,1433815,100,1345729,100,1286517,100,1220096,100,0,,UR
200,Regional QLD,Christian total,1233497,47.1692,1411958,58.352,1480348,65.6844,1375141,67.0112,1302240,71.6406,0,,UR
200,Regional QLD,Non Christian total,80473,3.0773,65597,2.7109,53335,2.3665,33979,1.6558,25791,1.4188,0,,UR
200,Regional QLD,Non-classifiable religious belief,15963,0.6104,15670,0.6476,18103,0.8032,13641,0.6647,34139,1.8781,0,,UR
200,Regional QLD,No Religion/secular beliefs,1055153,40.3493,682192,28.193,480897,21.3378,376787,18.361,265488,14.6054,0,,UR
200,Regional QLD,Not stated,229961,8.7938,244307,10.0965,221045,9.808,252558,12.3073,190083,10.4571,0,,UR
200,Regional QLD,Total Population,2615047,100,2419724,100,2253728,100,2052106,100,1817741,100,0,,UR
210,Regional SA,Christian total,159667,40.8529,198519,52.5088,218603,59.3593,217288,60.8432,222858,65.6475,0,,UR
210,Regional SA,Non Christian total,7859,2.0108,6741,1.783,6348,1.7237,3861,1.0811,3214,0.9468,0,,UR
210,Regional SA,Non-classifiable religious belief,2025,0.5181,2208,0.584,2554,0.6935,1788,0.5007,6586,1.94,0,,UR
210,Regional SA,No Religion/secular beliefs,186667,47.7612,133365,35.2754,103314,28.0538,87634,24.5385,69434,20.4532,0,,UR
210,Regional SA,Not stated,34616,8.857,37235,9.8488,37452,10.1697,46557,13.0365,37385,11.0125,0,,UR
210,Regional SA,Total Population,390834,100,378068,100,368271,100,357128,100,339477,100,0,,UR
220,Regional WA,Christian total,207853,38.8653,263207,50.2145,287561,57.2162,256888,57.4757,259051,61.9492,0,,UR
220,Regional WA,Non Christian total,14221,2.6591,13561,2.5872,11179,2.2243,7715,1.7261,6940,1.6596,0,,UR
220,Regional WA,Non-classifiable religious belief,3215,0.6012,3476,0.6631,4421,0.8796,3011,0.6737,9908,2.3694,0,,UR
220,Regional WA,No Religion/secular beliefs,244747,45.7639,178724,34.0969,136014,27.0628,112074,25.0752,89127,21.3137,0,,UR
220,Regional WA,Not stated,64768,12.1106,65197,12.4383,63412,12.6171,67263,15.0493,53141,12.7081,0,,UR
220,Regional WA,Total Population,534804,100,524165,100,502587,100,446951,100,418167,100,0,,UR
230,Regional TAS,Christian total,121998,39.4712,148050,51.6536,170637,60.4031,177370,64.5247,182325,69.5101,0,,UR
230,Regional TAS,Non Christian total,9579,3.0992,5218,1.8205,4337,1.5352,2929,1.0655,2018,0.7693,0,,UR
230,Regional TAS,Non-classifiable religious belief,1667,0.5393,1880,0.6559,2048,0.725,1726,0.6279,4657,1.7754,0,,UR
230,Regional TAS,No Religion/secular beliefs,153274,49.5902,104150,36.3372,79325,28.0799,59000,21.4634,44752,17.0614,0,,UR
230,Regional TAS,Not stated,22563,7.3,27323,9.5328,26150,9.2567,33862,12.3185,28548,10.8837,0,,UR
230,Regional TAS,Total Population,309081,100,286621,100,282497,100,274887,100,262300,100,0,,UR
240,Regional NT,Christian total,41593,46.6755,46780,52.3032,54006,60.4216,48790,56.1592,54600,64.6284,0,,UR
240,Regional NT,Non Christian total,6234,6.9958,5075,5.6742,4402,4.9249,4240,4.8804,3210,3.7996,0,,UR
240,Regional NT,Non-classifiable religious belief,608,0.6823,473,0.5288,655,0.7328,481,0.5536,1345,1.592,0,,UR
240,Regional NT,No Religion/secular beliefs,29193,32.7603,21758,24.3269,18002,20.1405,17905,20.6094,12449,14.7355,0,,UR
240,Regional NT,Not stated,11483,12.8862,15354,17.1668,12317,13.7802,15462,17.7974,12879,15.2445,0,,UR
240,Regional NT,Total Population,89111,100,89440,100,89382,100,86878,100,84483,100,0,,UR
245,Regional Australia,Christian total,3893734,46.6587,4457448,57.3278,4838700,65.7866,4707649,67.8858,4667945,72.2036,0,,UR
245,Regional Australia,Non Christian total,254152,3.0455,192871,2.4805,158713,2.1579,108830,1.5694,85038,1.3154,0,,UR
245,Regional Australia,Non-classifiable religious belief,47908,0.5741,48080,0.6184,58186,0.7911,43840,0.6322,112270,1.7366,0,,UR
245,Regional Australia,No Religion/secular beliefs,3446093,41.2946,2301850,29.6044,1622460,22.0588,1281136,18.4744,956715,14.7984,0,,UR
245,Regional Australia,Not stated,703250,8.4271,775116,9.9689,677085,9.2056,793204,11.4383,643010,9.9461,0,,UR
245,Regional Australia,Total Population,8345137,100,7775365,100,7355144,100,6934659,100,6464978,100,0,,UR
250,Canberra,Christian total,173093,38.1349,180121,45.388,196810,55.1946,194758,60.2477,198188,64.1018,0,,UR
260,Greater Sydney,Christian total,2394622,45.7763,2496026,51.7419,2672595,60.8565,2637632,64.037,2687072,68.0551,0,,UR
260,Greater Sydney,Non Christian total,888783,16.9902,695646,14.4206,580210,13.2117,447466,10.8637,373541,9.4606,0,,UR
260,Greater Sydney,Non-classifiable religious belief,23803,0.455,23590,0.489,28058,0.6389,22796,0.5534,62361,1.5794,0,,UR
260,Greater Sydney,No Religion/secular beliefs,1597467,30.5376,1200466,24.8853,774964,17.6464,582696,14.1468,470040,11.9046,0,,UR
260,Greater Sydney,Not stated,326469,6.2409,408262,8.4632,335807,7.6465,428329,10.3991,355364,9.0003,0,,UR
260,Greater Sydney,Total Population,5231144,100,4823990,100,4391634,100,4118919,100,3948378,100,0,,UR
270,Greater Melbourne,Christian total,1974006,40.1405,2075001,46.2632,2231054,55.7769,2150750,58.9879,2145740,63.0115,0,,UR
270,Greater Melbourne,Non Christian total,801726,16.3027,593300,13.2279,472054,11.8015,333510,9.1471,273194,8.0226,0,,UR
270,Greater Melbourne,Non-classifiable religious belief,27343,0.556,29183,0.6507,34473,0.8618,27531,0.7551,71221,2.0915,0,,UR
270,Greater Melbourne,No Religion/secular beliefs,1827618,37.1638,1404052,31.3041,939219,23.4807,730995,20.0488,585271,17.187,0,,UR
270,Greater Melbourne,Not stated,287048,5.837,383670,8.5541,323158,8.079,403301,11.0612,329890,9.6875,0,,UR
270,Greater Melbourne,Total Population,4917741,100,4485206,100,3999958,100,3646087,100,3405316,100,0,,UR
280,Greater Brisbane,Christian total,1119588,44.3185,1218140,53.6436,1298074,62.8302,1213899,65.5342,1173580,70.4988,0,,UR
280,Greater Brisbane,Non Christian total,178261,7.0564,135727,5.977,107330,5.1951,69832,3.77,52460,3.1514,0,,UR
280,Greater Brisbane,Non-classifiable religious belief,15872,0.6283,16002,0.7047,16973,0.8215,12690,0.6851,32323,1.9417,0,,UR
280,Greater Brisbane,No Religion/secular beliefs,1053744,41.7121,702910,30.9542,471525,22.8231,349736,18.881,251229,15.0917,0,,UR
280,Greater Brisbane,Not stated,158764,6.2846,198024,8.7204,172101,8.3301,206157,11.1297,155088,9.3164,0,,UR
280,Greater Brisbane,Total Population,2526229,100,2270803,100,2066003,100,1852314,100,1664680,100,0,,UR
290,Greater Adelaide,Christian total,552536,39.8283,623983,48.1572,694576,56.6889,688531,59.5025,711658,63.8037,0,,UR
290,Greater Adelaide,Non Christian total,131462,9.4761,93405,7.2087,70755,5.7748,45571,3.9382,34582,3.1005,0,,UR
290,Greater Adelaide,Non-classifiable religious belief,8156,0.5879,8878,0.6852,11105,0.9064,8555,0.7393,26536,2.3791,0,,UR
290,Greater Adelaide,No Religion/secular beliefs,623448,44.9398,465328,35.9127,344201,28.0925,279529,24.1567,230403,20.6568,0,,UR
290,Greater Adelaide,Not stated,71693,5.1678,104127,8.0362,104605,8.5375,134961,11.6633,112207,10.0599,0,,UR
